(problem-3)output:
[1287, 11.4]
[1142, 2.1]
[1157, 1.5]
[1190, 10.5]
[1249, 1.3]
[1281, 2.4]
[1177, 12.1]
[1216, 3.2]
[1186, 12.0]
[1298, 2.3]
[1436, 10.0]
[1306, 12.1]
[1452, 10.5]
[1426, 12.5]
[1380, 11.0]
[1475, 11.3]
[1302, 12.1]
[1348, 11.3]
[1435, 12.0]
[1478, 11.2]
[1416, 9.4]
[1419, 10.4]
[1437, 1.4]
[1457, 10.3]
[1469, 2.1]
[1393, 3.1]
[1425, 12.1]
[1481, 12.5]
[1374, 10.4]
[1445, 11.3]
[1437, 2.1]
[1388, 12.4]
[1421, 9.5]
[1459, 1.0]
[1495, 1.3]
[1464, 12.4]
[1467, 10.3]
[1399, 10.3]
[1375, 11.3]
[1478, 11.2]
[1424, 11.4]
[1314, 11.1]
[1306, 3.2]
[1464, 2.1]
[1423, 11.3]
[1466, 3.1]
[1482, 12.3]
[1380, 12.0]
[1413, 12.3]
[1409, 3.0]
[1232, 12.1]
[1395, 10.4]
[1425, 10.5]
[1472, 12.1]
[1466, 1.3]
[1496, 12.3]
[1493, 1.1]
[1438, 9.3]
[1318, 1.1]
[1222, 1.4]
[1383, 2.2]
[1293, 10.3]
[1415, 12.2]
[1150, 1.0]
[1474, 11.4]
[1464, 2.5]
[1422, 1.4]
[1377, 3.1]
[1479, 10.5]
[1417, 2.1]
[1493, 3.2]
[1386, 10.4]
[1466, 11.3]
[1350, 1.4]
[1456, 11.4]
[1438, 10.1]
[1381, 12.5]
[1472, 10.1]
[1446, 1.0]
[1467, 10.5]
[1425, 12.2]
[1295, 1.2]
[1477, 1.3]
[1438, 10.4]
[1412, 11.2]
[1446, 12.5]
[1371, 12.3]
[1455, 11.2]
[1418, 11.3]
[1439, 3.2]
[1409, 2.0]
[1474, 1.2]
[1363, 11.5]
[1309, 1.0]
[1457, 11.2]
[1358, 12.0]
[1341, 10.4]
[1312, 9.5]
[1358, 11.4]
[1459, 2.3]
